X,Y,Time
1000,845,78429.67500000003
938,763,78446.37000000001
905,686,78465.07000000002
905,686,78481.60500000003
832,698,78497.51000000002
832,698,78514.19500000002
740,655,78532.88500000002
855,578,78549.00000000001
898,562,78568.33000000003
792,624,78587.44000000002
832,600,78602.94500000002
855,531,78618.84500000002
843,626,78635.105
847,520,78650.75500000002
845,669,78666.395
845,669,78681.91500000002
875,655,78698.42000000003
875,655,78714.40000000001
881,752,78730.62000000001
888,727,78746.585
542,1013,78763.72000000002
633,1010,78779.295
376,1030,78800.145
588,875,78816.12000000001
496,871,78832.75500000002
703,874,78848.335
1019,880,78865.96500000001
1019,880,78881.645
1020,895,78902.085
951,800,78919.81500000002
937,841,78935.63000000002
922,851,78951.80500000004
814,838,78968.68000000004
814,838,78984.895
774,682,79000.43000000001
756,663,79017.17000000003
877,608,79033.91500000002
871,617,79049.27000000003
854,678,79065.28000000001
854,678,79082.74500000001
851,693,79098.16500000002
861,674,79117.71
1013,719,79133.46
1013,719,79151.19500000002
721,691,79167.72500000002
688,609,79184.68500000001
780,608,79202.12999999999
780,608,79219.00499999999
737,623,79234.78000000001
737,623,79250.645
781,586,79266.84000000001
808,658,79283.53000000001
851,656,79299.26000000002
760,717,79315.91000000002
760,717,79336.27
768,722,79352.81500000002
840,642,79369.22500000002
840,642,79385.17500000003
933,561,79402.28000000001
904,593,79420.03500000002
881,645,79435.735
881,645,79451.67000000003
704,555,79467.68000000004
697,573,79486.00000000001
727,620,79506.18500000001
727,620,79522.04000000002
671,556,79540.30000000003
584,696,79559.34000000001
532,642,79577.33500000004
552,568,79596.69000000002
552,568,79616.90000000001
561,608,79632.65500000001
461,614,79650.18000000004
422,627,79671.36
521,575,79689.58000000003
506,603,79708.36000000003
506,603,79724.64000000003
563,579,79740.95000000003
521,588,79759.06000000001
544,560,79775.39500000003
586,543,79791.42500000003
496,557,79811.38000000002
496,572,79828.96
496,572,79844.51
564,570,79862.43000000001
593,554,79877.98500000003
674,481,79897.17500000003
674,481,79917.78499999999
606,491,79933.79500000003
606,491,79950.03000000001
547,563,79971.49
482,538,79987.48000000003
482,538,80003.46500000004
605,425,80020.24000000003
549,442,80035.68000000001
529,543,80051.77500000001
529,543,80067.19000000002
541,547,80083.615
450,640,80099.645
421,644,80115.67000000003
385,642,80131.39500000003
476,650,80147.635
547,523,80163.83
547,523,80179.26000000002
377,537,80195.25000000001
448,489,80211.43500000001
503,563,80231.73000000003
503,563,80248.71
438,601,80264.57500000003
376,593,80280.38000000002
243,687,80296.07500000003
243,687,80311.49500000004
199,697,80328.69499999999
199,697,80345.68500000001
106,728,80362.09500000002
131,755,80377.71500000001
238,703,80396.73000000003
299,678,80412.86000000003
269,733,80428.77500000001
292,651,80444.38000000002
292,651,80462.03000000001
221,635,80477.68500000001
221,635,80493.97500000002
246,642,80510.835
246,642,80527.44000000002
251,649,80543.57000000002
251,649,80560.835
283,743,80577.17000000003
283,743,80596.365
571,607,80616.41000000002
540,550,80632.07000000002
431,588,80648.24500000001
493,598,80664.615
493,598,80683.12500000001
461,664,80698.93000000001
480,608,80714.95
427,723,80733.10500000003
427,723,80749.20000000003
439,730,80764.86000000003
439,730,80780.45000000003
518,607,80796.915
475,581,80813.98500000003
475,581,80830.60500000003
508,627,80847.46
482,631,80863.3
358,673,80879.17500000003
358,673,80895.15000000001
458,533,80911.72500000002
458,533,80928.69000000002
444,600,80944.63500000002
428,628,80961.19500000002
394,662,80977.96500000001
394,662,80993.97500000002
439,645,81016.29000000002
484,531,81035.19000000002
484,531,81051.22000000002
471,690,81070.59000000001
471,690,81087.12000000001
449,628,81102.78000000001
415,571,81120.66500000002
349,674,81136.99
424,716,81153.51
411,594,81170.675
411,594,81190.27500000001
406,675,81205.82000000002
406,675,81221.78000000001
425,615,81238.70000000003
425,615,81254.14000000003
381,640,81272.50500000002
381,640,81288.36500000003
228,689,81304.65000000001
287,658,81320.64000000003
429,583,81336.675
429,583,81351.90500000001
418,590,81368.115
418,590,81383.77500000001
414,606,81399.41500000002
414,606,81418.40000000001
369,564,81434.86
369,564,81453.77
395,660,81471.27000000003
395,660,81486.74
358,662,81504.61
358,662,81520.92500000003
320,685,81538.66000000002
320,685,81553.92000000003
374,727,81572.615
259,635,81592.99
129,724,81610.76000000002
129,724,81630.39000000003
357,596,81648.15000000001
357,596,81664.45
224,698,81680.54000000002
226,712,81696.59500000002
297,687,81713.06500000002
297,687,81728.94499999999
270,629,81744.68000000001
270,629,81761.645
307,689,81780.455
249,754,81796.75500000002
249,754,81814.31500000002
292,666,81831.96
292,666,81847.87000000001
329,683,81864.02
329,683,81880.65500000001
325,723,81896.53000000001
325,723,81912.37000000001
325,723,81928.12500000001
218,759,81944.33000000003
218,759,81962.26
245,706,81977.73000000003
245,706,81993.49500000001
310,647,82014.50500000002
329,642,82032.05000000003
382,588,82048.03500000002
382,588,82064.21000000004
403,740,82081.98500000003
403,740,82101.28000000001
299,611,82117.18000000001
386,695,82132.66000000002
386,695,82152.47499999999
267,646,82169.58000000003
267,646,82186.48500000003
336,710,82203.16000000002
305,755,82221.73000000003
343,615,82241.59000000001
343,615,82260.49000000003
338,634,82278.93500000001
338,634,82298.39
292,623,82318.39000000003
292,623,82342.68500000001
300,679,82366.94500000002
337,676,82383.2
337,676,82398.365
257,759,82414.44500000002
253,727,82430.87000000001
336,671,82454.48500000003
304,654,82471.355
304,654,82486.98
221,746,82506.21
221,746,82521.93000000001
204,737,82538.2
204,737,82553.85500000003
216,583,82572.59000000001
216,583,82591.13000000002
327,671,82606.735
327,671,82625.50000000001
306,632,82641.81500000002
269,602,82659.675
252,630,82675.27500000001
252,630,82691.67500000003
269,582,82707.90500000001
269,582,82728.26000000002
164,701,82744.46000000004
164,701,82760.645
279,670,82778.77500000001
279,670,82795.35000000002
243,668,82811.43000000004
243,668,82827.31500000002
152,686,82846.14500000003
152,686,82862.07500000003
112,730,82878.02500000004
158,717,82894.54500000003
151,736,82910.47500000002
151,736,82926.15500000001
204,636,82942.02500000001
213,676,82959.52000000003
145,764,82978.50000000001
145,764,82997.83
317,526,83015.47499999999
405,498,83031.31000000001
255,655,83046.98500000003
196,724,83062.72500000002
228,727,83079.01
200,704,83094.75500000002
199,678,83110.87500000001
159,658,83126.43500000001
236,754,83142.56000000001
236,754,83158.16500000002
128,707,83174.55500000001
128,707,83190.59500000002
104,702,83213.29000000002
164,681,83228.865
262,616,83244.70000000003
262,616,83261.03000000001
289,646,83279.76500000003
289,646,83299.85500000003
355,638,83316.28500000002
263,665,83332.47000000002
263,665,83348.59500000002
254,778,83366.04000000002
233,711,83382.02500000001
227,637,83397.83000000003
204,653,83417.81000000001
204,653,83433.865
265,688,83449.48000000003
265,688,83465.34000000001
179,723,83483.18000000004
179,723,83498.12500000001
215,709,83514.49500000001
215,709,83530.91500000002
361,684,83546.79500000003
361,684,83562.73500000003
309,585,83579.24
309,585,83597.86000000003
385,652,83614.21500000001
385,652,83629.90500000004
362,627,83645.69500000002
362,627,83662.425
334,587,83678.07000000002
334,587,83693.50500000002
325,750,83709.28500000002
325,750,83726.17000000003
414,664,83744.19500000002
414,664,83760.52500000001
415,665,83776.25500000002
319,660,83792.3
319,660,83813.24000000003
366,728,83828.69000000002
395,658,83844.22500000002
335,620,83860.90000000001
418,684,83877.62000000004
418,684,83893.48
438,612,83910.05
438,612,83926.04000000002
419,572,83941.60000000002
419,572,83957.295
463,713,83974.43500000001
437,719,83990.50500000002
433,618,84006.80500000001
433,618,84022.90000000001
480,652,84040.67000000003
411,675,84057.98
363,695,84073.60000000002
363,695,84090.97000000002
430,611,84108.86
430,611,84124.84500000002
413,617,84140.89500000003
413,617,84156.80500000001
413,617,84173.46000000004
395,669,84194.585
395,669,84210.47000000002
362,602,84229.335
427,634,84249.06000000001
427,634,84264.91000000002
378,647,84280.91000000002
378,647,84296.30000000003
456,947,84313.21
485,965,84328.86
229,937,84347.56500000002
374,955,84363.23
578,1082,84379.87000000001
682,1103,84395.28000000001
797,943,84410.80500000001
797,943,84427.41500000002
675,831,84443.11500000003
701,764,84459.31500000002
633,697,84475.26000000002
531,708,84491.29500000003
556,574,84507.31500000002
440,723,84523.16000000002
440,723,84538.94499999999
463,682,84557.69000000002
479,630,84572.88000000002
546,596,84589.46000000004
507,618,84606.56500000002
540,487,84623.40000000004
500,624,84639.00000000001
494,606,84656.605
494,606,84672.33500000004
456,649,84690.59000000001
456,649,84706.31000000001
458,573,84723.36
542,473,84741.00000000001
499,523,84762.51000000002
564,541,84780.14500000003
564,541,84797.40500000001
508,644,84813.85500000003
479,593,84830.10500000003
500,707,84847.93500000004
500,707,84863.49500000001
473,478,84880.28000000001
473,478,84898.10000000002
473,478,84913.99
491,621,84929.84500000002
491,621,84950.98
420,566,84968.34000000001
311,813,84984.53000000001
350,870,85002.41000000002
215,990,85018.95500000003
460,1078,85034.68000000001
635,1066,85050.79500000003
764,929,85066.82000000002
932,951,85084.57500000003
925,871,85100.12500000001
850,888,85116.44500000002
795,790,85132.43000000001
716,676,85155.09500000002
662,517,85171.97500000002
589,509,85189.36
605,547,85207.03500000002
562,551,85223.56500000002
379,708,85244.21500000001
379,708,85260.46500000001
376,721,85276.29000000002
401,548,85292.68000000001
437,617,85309.52500000004
397,659,85325.68999999999
397,659,85341.56500000002
428,561,85358.58
523,482,85374.27500000001
567,502,85390.145
567,502,85406.57000000002
471,518,85423.87500000001
471,518,85439.65500000001
567,601,85457.47000000002
567,601,85473.75000000001
545,602,85489.80500000001
545,602,85505.25500000002
637,520,85521.765
576,586,85538.93000000001
609,458,85555.62000000004
558,683,85572.21
558,683,85589.75000000001
486,696,85607.03500000002
476,657,85625.82000000002
476,657,85643.34000000001
579,490,85659.57000000002
651,482,85675.8
583,482,85691.365
583,482,85706.835
719,543,85723.145
663,582,85739.05500000004
893,475,85755.22500000002
893,475,85771.77000000003
933,554,85789.57000000002
933,554,85805.60000000002
855,530,85824.44500000002
850,524,85839.795
880,428,85856.60000000002
831,430,85871.795
744,453,85888.77
785,442,85904.34500000002
827,559,85924.415
757,600,85940.14
706,561,85956.97000000002
776,628,85975.27
714,649,85994.69500000002
714,649,86010.92000000003
763,520,86026.57000000002
822,442,86042.12500000001
847,572,86058.87500000001
908,583,86074.085
778,475,86089.97499999999
765,496,86105.84500000002
1007,643,86122.68000000004
1062,566,86138.26000000002
1085,463,86154.66500000002
1085,463,86171.62000000001
1037,488,86188.56000000001
1088,545,86204.46500000001
1004,572,86221.59000000001
1004,572,86238.38500000002
941,588,86257.71500000001
951,546,86273.06000000001
