X,Y,Time
1053,338,73293.94000000041
1059,306,73310.62000000058
1059,306,73332.53000000026
1014,182,73351.95500000054
1014,182,73367.29500000039
1059,340,73383.33000000054
1059,340,73398.95500000054
1012,366,73417.27500000037
1016,501,73432.96500000032
1139,446,73449.27000000048
1110,314,73464.55500000017
1187,325,73481.1950000003
1187,325,73496.53500000061
1067,418,73512.68000000063
1067,418,73529.21500000032
1168,353,73545.5150000006
1177,336,73560.88500000024
1158,358,73577.03000000026
1052,445,73593.93000000017
1133,344,73611.31000000052
1085,303,73627.30000000028
1065,354,73644.8200000003
972,371,73663.45000000019
1002,321,73679.70000000019
1024,316,73695.91000000015
1075,381,73713.56000000052
1075,381,73729.55000000028
1068,354,73745.51000000024
1068,354,73760.68000000063
1168,273,73777.65500000073
1121,248,73796.96000000043
1054,370,73813.89500000048
1077,382,73830.21500000032
1106,367,73846.83500000043
1106,367,73862.15500000026
1047,408,73878.0150000006
1047,408,73893.90500000026
1039,314,73912.50500000035
1056,300,73928.83500000043
1056,300,73946.28000000026
1035,379,73968.1650000005
1288,348,73987.40500000073
1260,356,74003.0950000002
1240,354,74018.42500000028
1118,353,74034.78000000026
1154,363,74050.56500000041
1131,333,74065.86000000034
1148,337,74081.87500000047
1113,268,74097.2200000002
1198,322,74114.88500000024
1198,322,74131.89500000002
1224,393,74148.06000000006
1224,393,74167.74500000058
1118,327,74183.48000000045
1118,327,74198.77500000037
1227,384,74214.18000000017
1227,384,74230.60500000045
1161,306,74247.58500000043
1161,306,74262.64000000013
1169,344,74278.8200000003
1169,344,74294.87000000058
1157,434,74310.22000000067
1211,374,74327.34000000032
1196,367,74343.45500000054
1246,477,74359.24000000069
1246,477,74375.45500000007
1180,496,74392.58500000043
1180,496,74409.2900000005
1238,484,74428.19000000041
1155,507,74445.04500000039
1166,409,74461.3200000003
1201,348,74477.72500000056
1201,348,74493.22500000056
1190,456,74510.0950000002
1175,475,74525.93000000063
1214,439,74542.89500000048
1214,439,74559.20999999996
1221,378,74576.20500000054
1206,397,74592.88000000035
1268,410,74609.91500000004
1268,410,74626.20500000007
1202,397,74642.59000000032
1202,397,74659.10000000056
1202,397,74675.61000000034
1234,443,74694.24500000058
1301,428,74709.57500000065
1224,408,74725.50000000047
1224,408,74742.25000000047
1183,422,74764.62500000047
1279,381,74781.16000000015
1279,381,74798.30500000063
1275,358,74813.87500000047
1275,358,74829.44000000041
1169,365,74845.61000000034
1169,365,74864.64500000048
1183,400,74880.89000000013
1194,418,74896.36000000034
1288,382,74913.05000000028
1273,405,74929.6000000001
1236,398,74945.76000000024
1236,398,74960.88000000035
1248,444,74977.20000000065
1248,444,74993.71000000043
1198,463,75011.83000000007
1208,419,75026.98000000045
1208,419,75042.01000000024
1329,436,75060.48500000034
1329,436,75076.71500000032
1323,374,75092.1950000003
1323,374,75108.39500000048
1288,461,75126.89000000013
1288,461,75141.83000000007
1307,440,75159.10500000045
1307,440,75175.42500000028
1342,443,75192.20500000054
1342,443,75210.16500000004
1388,449,75225.56500000041
1388,449,75242.24000000022
1311,418,75261.08000000054
1275,526,75276.96000000043
1232,513,75292.1950000003
1436,443,75309.2250000001
1436,443,75327.32500000065
1384,401,75342.36000000034
1384,401,75362.50500000035
1491,407,75379.74500000058
1489,426,75394.72500000056
1476,411,75409.75000000047
1380,508,75424.98500000034
1380,508,75441.34000000032
1308,528,75458.00500000035
1308,528,75476.12000000058
1297,442,75491.52500000037
1287,448,75508.4150000005
1274,466,75527.34000000032
1306,416,75544.24000000022
1453,413,75559.54500000039
1453,413,75575.3450000002
1427,366,75591.17000000039
1427,366,75607.91999999993
1358,520,75625.7200000002
1395,427,75641.65000000037
1299,583,75658.01000000024
1389,475,75674.33500000043
1389,475,75692.53500000015
1305,411,75707.91500000004
1341,391,75723.7200000002
1377,476,75741.49000000022
1377,476,75758.66000000015
1377,476,75773.39500000048
1493,510,75791.31000000052
1493,510,75807.90500000026
1462,374,75826.44000000041
1462,374,75847.76500000013
